Match Letter,Day/Stream,Stage,B/O,Team 1,,,Team 2,B/O,Scheduled Start (CT),Act Start (CT),,Match Letter,Day/Stream,Date/Stage,B/O,Team 1,,,Team 2,B/O,Scheduled Start (CT),Target Start (CT),Act Start (CT),"Start Delta
(Act - Target)",Match Finish,Notes
T,Day 3 1B,Group B R1,0,-,0,0,-,0,,,,T,Day 3 1B,Group B R1,0,-,0,0,-,0,2:00:00 PM,,,0:00:00,,
U,Day 3 1A,Group C R1,11,Shopify Rebellion,0,0,NRG,2,,,,V,Day 3 1B,Group C R1,0,-,0,0,-,0,3:00 PM,,,0:00:00,,
V,Day 3 1B,Group C R1,0,-,0,0,-,0,,,,X,Day 3 1B,Group D R1,0,-,0,0,-,0,4:00 PM,,,0:00:00,,
W,Day 3 1A,Group D R1,13,Gentle Mates,0,0,Team Vitality,4,,,,A,Day 3 99A,2v2 SF,4,Team Falcons,0,0,FURIA,3,5:00 PM,,,0:00:00,,
X,Day 3 1B,Group D R1,0,-,0,0,-,0,,,,B,Day 3 99A,2v2 SF,2,No Miss Just Fake,0,0,Spacestation Gaming,1,6:00 PM,,,0:00:00,,
C,Day 4 99A,1v1 Final,0,-,0,0,-,0,,,,D,Day 4 4A,Bracket Lower R1,0,-,0,0,-,0,11:00 AM,11:00 AM,,-11:00:00,,
C,Day 4 5A,Bracket Lower R1,0,-,0,0,-,0,,,,F,Day 4 4A,Bracket Lower R1,0,-,0,0,-,0,12:00 PM,,,0:00:00,,
D,Day 4 4A,Bracket Lower R1,0,-,0,0,-,0,,,,C,Day 4 5A,Bracket Lower R1,0,-,0,0,-,0,,,,,,
E,Day 4 5A,Bracket Lower R1,0,-,0,0,-,0,,,,E,Day 4 5A,Bracket Lower R1,0,-,0,0,-,0,,,,,,
F,Day 4 4A,Bracket Lower R1,0,-,0,0,-,0,,,,C,Day 4 99A,1v1 Final,0,-,0,0,-,0,1:00 PM,,,0:00:00,,
A,Day 5 7A,Bracket Upper R2,0,-,0,0,-,0,,,,G,Day 5 1A,Bracket Lower R2,0,-,0,0,-,0,2:00 PM,,,0:00:00,,
B,Day 5 6A,Bracket Upper R2,0,-,0,0,-,0,,,,H,Day 5 1A,Bracket Lower R2,0,-,0,0,-,0,,,,,,
G,Day 5 1A,Bracket Lower R2,0,-,0,0,-,0,,,,B,Day 5 6A,Bracket Upper R2,0,-,0,0,-,0,,,,,,
H,Day 5 1A,Bracket Lower R2,0,-,0,0,-,0,,,,A,Day 5 7A,Bracket Upper R2,0,-,0,0,-,0,,,,,,
C,Day 5 99A,2v2 Final,0,-,0,0,-,0,,,,C,Day 5 99A,2v2 Final,0,-,0,0,-,0,,,,,,
I,Day 6 1A,Bracket Semifinal,0,-,0,0,-,0,,,,I,Day 6 1A,Bracket Semifinal,0,-,0,0,-,0,11:00 AM,11:00 AM,,-11:00:00,,
J,Day 6 2A,Bracket Semifinal,0,-,0,0,-,0,,,,J,Day 6 2A,Bracket Semifinal,0,-,0,0,-,0,12:15 PM,,,0:00:00,,
K,Day 6 3A,Bracket Preliminary Final,0,-,0,0,-,0,,,,K,Day 6 3A,Bracket Preliminary Final,0,-,0,0,-,0,1:30 PM,,,0:00:00,,
L,Day 6 4A,Bracket Preliminary Final,0,-,0,0,-,0,,,,L,Day 6 4A,Bracket Preliminary Final,0,-,0,0,-,0,2:45 PM,,,0:00:00,,
M,Day 6 5A,Bracket Grand Final,0,-,0,0,-,0,,,,M,Day 6 5A,Bracket Grand Final,0,-,0,0,-,0,4:00 PM,,,0:00:00,,
